type	name	lat	long	id	fac	description	abbr	openingtimes	link
Campus Facilities	Sportspark	52.624466	1.240854	null	null	"The Sportspark is East Anglia's largest swimming and sports centre. It includes an olympic sized swimming pool, an eight lane international standard athletics track, Norfolk's largest indoor climbing wall, a state of the art fitness centre plus much, much more. For a comprehensive list of all the activities offered at the Sportspark, please click the link above."	SP	null	http://www.sportspark.co.uk/
Campus Facilities	Student Union Pub and Bar	52.621544	1.241231	null	null	"The Union Pub and Bar is the hub of social life on campus. As well as providing the usual pub services; drinks, snacks, games machines, pool tables and a juke box, it also hosts a wide selection of special events - karaoke, tournaments, promotions, DJ sets and more."	null	Monday/Tuesday 11am to 11pm<br>Wednesday 11am - 1pm<br>Thursday/Friday 11am - midnight<br>Saturday - 11am - 11pm<br>Sunday - midday - 11pm	http://www.ueastudent.com/ents/entsFeatures/unionbars/thebar
Campus Facilities	Tennis Courts	52.627033	1.241884	null	null	null	null	null	null
Campus Facilities	The Broad	52.618717	1.241552	null	null	The man-made lake (broad) on campus is a beautiful place to collect your thoughts and enjoy nature	broad	null	null
Campus Facilities	The Drama Studio	52.621815	1.242362	null	null	"The purpose-built 200-seat studio theatre plays host to professional productions, as well as regularly showcasing the work of students studying <a href='http://www.uea.ac.uk/literature/drama'>Drama</a> at UEA."	DRA	null	null
Campus Facilities	The Hive	52.62143503	1.24129951	null	null	"The Hive Bar, situated downstairs in Union House is used in many different ways; as a daytime cafe, a night-time venue for societies and as the second room on our regular student nights."	null	Monday - Friday 9am - 5pm term time	null
Campus Facilities	The Square	52.621742	1.241021	null	null	"The Square is located at the heart of the University and a central focal point for the University community. It has recently been regenerated to include new paving, seating and a new central fountain and water feature. "	null	null	null
Campus Facilities	The Street	52.621265	1.241334	null	null	"On the Street you’ll find a variety of shops including our large food store (complete with Post Office), a Waterstones book shop and Cafe Direct coffee shop. Other facilities on The Street  include a bank and a 24-hour laundrette. There’s also CareerCentral (https://www.uea.ac.uk/careers) the one-stop-shop for anything relating to careers."	null	null	null
Campus Facilities	Union House	52.621559	1.241468	null	null	null	UH	null	null
Campus Facilities	University Dental Service	52.62341	1.24687	null	null	University Dental Service	UDS	null	http://www.uea.ac.uk/dentist
Campus Facilities	Interdisciplinary Institute	52.62090746	1.242259741	null	HUM	"The Interdisciplinary Institute for the Humanities is the home for the innovative Foundation Year in the Humanities and the Liberal Arts BA programme, as well as the MA in Creative Entrepreneurship. We provide an intellectual home for those activities in the Faculty of Arts and Humanities which cross disciplinary boundaries, including the Centre for Japanese Studies (CJS) and the East Anglian Film Archive (EAFA)."	null	null	https://www.uea.ac.uk/humanities
Campus Facilities	Julian Study Centre	52.622151	1.234079	null	null	null	null	null	null
Campus Facilities	Print Services	52.620991	1.241589	null	null	"Providing a high quality, professional printing service located within Building 18, Suffolk Road"	null	Monday-Friday 9am - 5pm	https://portal.uea.ac.uk/print-services
Campus Facilities	Safety Services	52.62093	1.2372091	null	null	Our role is to provide all staff and students at UEA with advice and guidance on safety	null	null	https://portal.uea.ac.uk/uss
Parking	Main Vistors Car Park P1	52.6233336	1.24309659	null	null	P1 &mdash; Main Visitors Car Park	null	null	null
Parking	Sports Pavilion Car Park P10	52.62179652	1.223934889	null	null	P10 &mdash; Sports Pavilion Car Park	null	null	null
Parking	West Car Park P2	52.62225895	1.23360157	null	null	P2 &mdash; West Car Park (permit holders only weekday daytime)	null	24/7	null
Parking	West Car Park P3	52.62216125	1.235951185	null	null	P3 &mdash; West Car Park (permit holders only weekday daytime)	null	24/7	null
Parking	West Car Park P3	52.62199191	1.237699986	null	null	P3 &mdash; West Car Park (permit holders only weekday daytime)	null	24/7	null
Parking	Visitors Car Park P4	52.62225895	1.239427328	null	null	P4 &mdash; Permit holders (Pre Booked) visitors only Car Park	null	24/7	null
Parking	Central Visitors Car Park P5	52.62132105	1.235522032	null	null	P5 &mdash; Central Visitors Car Park (pay &amp; display)	null	24/7	null
Parking	Sportspark Car Park P6	52.62545027	1.240832806	null	null	P6 &mdash; Sportspark Car Park (Sportspark users only)	null	24/7	null
Parking	Sainsbury Car Park P7	52.62053294	1.236079931	null	null	P7 &mdash; Sainsbury Centre Car Park (visitors only)	null	24/7	null
Parking	Blackdale Car Park P8	52.62470782	1.245177984	null	null	"P8 &mdash; Blackdale Car Park (scratch cards, pay &amp; display)"	null	24/7	null
Parking	Blackdale Car Park P8	52.62433659	1.246680021	null	null	"P8 &mdash; Blackdale Car Park (scratch cards, pay &amp; display)"	null	24/7	null
Parking	Edith Cavell Building Car Park P9	52.61802	1.223978	null	null	P9 &mdash; Edith Cavell Building Car Park	null	24/7	null
Parking	Earlham Park Car Park P11	52.626258	1.239379	null	null	P11 &mdash; Earlham Park / Enterprise Centre Car Park	null	24/7	null
Parking	Village Car Park P12	52.62826	1.237502	null	null	P12 &mdash; Village Car Park	null	24/7	null
